종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"029460","케이씨","KOSPI","의료정밀","18980","150","0.80","257255755120"
"281820","케이씨텍","KOSPI","의료정밀","36300","-100","-0.27","757274482800"
"381970","케이카","KOSPI","유통업","12680","-320","-2.46","610948685640"
"145270","케이탑리츠","KOSPI","서비스업","1005","3","0.30","48301077870"
"417310","코람코더원리츠","KOSPI","서비스업","4780","-55","-1.14","193112000000"
"357120","코람코라이프인프라리츠","KOSPI","서비스업","4530","-45","-0.98","440929153620"
"007815","코리아써우","KOSPI","전기전자","5810","160","2.83","17224848900"
"007810","코리아써키트","KOSPI","전기전자","9970","160","1.63","235498887470"
"00781K","코리아써키트2우B","KOSPI","전기전자","5740","90","1.59","4498432260"
"003690","코리안리","KOSPI","보험","9390","-30","-0.32","1552801069140"
"192820","코스맥스","KOSPI","화학","155300","2100","1.37","1762578747700"
"044820","코스맥스비티아이","KOSPI","기타금융","8840","80","0.91","84898661640"
"005070","코스모신소재","KOSPI","화학","104900","5500","5.53","3410378304400"
"005420","코스모화학","KOSPI","화학","21750","850","4.07","835378959000"
"071950","코아스","KOSPI","기타제조업","9800","-60","-0.61","32249056000"
"002020","코오롱","KOSPI","기타금융","14310","0","0.00","180684156060"
"138490","코오롱ENP","KOSPI","화학","6130","420","7.36","232940000000"
"003070","코오롱글로벌","KOSPI","건설업","9160","280","3.15","173423651080"
"003075","코오롱글로벌우","KOSPI","건설업","17180","410","2.44","12725861660"
"450140","코오롱모빌리티그룹","KOSPI","유통업","2230","10","0.45","139993267500"
"45014K","코오롱모빌리티그룹우","KOSPI","유통업","3780","-10","-0.26","9284133600"
"002025","코오롱우","KOSPI","기타금융","12920","240","1.89","13906958800"
"120110","코오롱인더","KOSPI","화학","31400","150","0.48","864099457400"
"120115","코오롱인더우","KOSPI","화학","20850","150","0.72","57709881000"
"021240","코웨이","KOSPI","서비스업","64400","1700","2.71","4752695463600"
"036420","콘텐트리중앙","KOSPI","서비스업","9210","110","1.21","177405856680"
"024720","콜마홀딩스","KOSPI","기타금융","7190","160","2.28","246590102210"
"031820","콤텍시스템","KOSPI","서비스업","564","-6","-1.05","68273026824"
"192400","쿠쿠홀딩스","KOSPI","기타금융","23250","-750","-3.13","826820801250"
"284740","쿠쿠홈시스","KOSPI","서비스업","22600","450","2.03","507083658000"
"264900","크라운제과","KOSPI","음식료품","8550","-20","-0.23","107078917500"
"26490K","크라운제과우","KOSPI","음식료품","10070","0","0.00","7789749200"
"005740","크라운해태홀딩스","KOSPI","기타금융","6020","110","1.86","89381028940"
"005745","크라운해태홀딩스우","KOSPI","기타금융","8800","120","1.38","5286388800"
"259960","크래프톤","KOSPI","서비스업","337500","4000","1.20","16166288812500"
"020120","키다리스튜디오","KOSPI","서비스업","4115","5","0.12","152517397090"
"039490","키움증권","KOSPI","증권","135300","2500","1.88","3453763321800"
"014580","태경비케이","KOSPI","비금속광물","4535","40","0.89","125089358500"
"015890","태경산업","KOSPI","화학","5210","30","0.58","152281787500"
"006890","태경케미컬","KOSPI","화학","10790","100","0.94","125164000000"
"003240","태광산업","KOSPI","화학","653000","1000","0.15","727050200000"
"011280","태림포장","KOSPI","종이목재","2100","60","2.94","148692474000"
"004100","태양금속","KOSPI","운수장비","3360","-30","-0.88","123312000000"
"004105","태양금속우","KOSPI","운수장비","5250","-40","-0.76","17325000000"
"009410","태영건설","KOSPI","건설업","3655","-45","-1.22","1052294006735"
"009415","태영건설우","KOSPI","건설업","7200","-140","-1.91","4679812800"
"001420","태원물산","KOSPI","운수장비","3640","-85","-2.28","27664000000"
"055490","테이팩스","KOSPI","화학","16950","310","1.86","80845567500"
"078000","텔코웨어","KOSPI","서비스업","9980","30","0.30","92215968460"
"214420","토니모리","KOSPI","화학","7470","360","5.06","179689348530"
"019180","티에이치엔","KOSPI","전기전자","3210","25","0.78","57780000000"
"363280","티와이홀딩스","KOSPI","기타금융","3390","-35","-1.02","170955218520"
"36328K","티와이홀딩스우","KOSPI","기타금융","4720","-5","-0.11","5867026080"
"091810","티웨이항공","KOSPI","운수창고업","3305","130","4.09","711827515680"
"004870","티웨이홀딩스","KOSPI","비금속광물","839","14","1.70","94319916033"
"034230","파라다이스","KOSPI","서비스업","10570","100","0.96","970026055110"
